facility_id,facility_name,mort_ami,comp_hip_knee,readmission_hf,spending,count_of_safety_measures_better,count_of_readm_measures_worse,hospital_overall_rating
170137,LMH,11.0,2.5,-9.9,0.91,0.0,0.0,4.0
170142,"ASCENSION VIA CHRISTI HOSPITAL MANHATTAN, INC",14.0,3.4,-28.8,0.94,0.0,0.0,4.0
170182,MENORAH MEDICAL CENTER,12.1,3.3,-12.9,1.0,0.0,0.0,3.0
170197,KANSAS MEDICAL CENTER LLC,16.3,3.4,-17.1,1.03,1.0,0.0,3.0
180038,OWENSBORO HEALTH REGIONAL HOSPITAL,13.8,3.7,11.4,0.98,2.0,2.0,3.0
180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,11.3,4.3,27.6,1.01,1.0,3.0,2.0
180103,BAPTIST HEALTH LEXINGTON,14.5,3.2,-11.7,1.07,1.0,2.0,4.0
190008,TERREBONNE GENERAL MEDICAL CENTER - PARISH,12.7,3.7,18.2,1.06,2.0,0.0,4.0
190111,WILLIS KNIGHTON MEDICAL CENTER,12.6,3.4,-6.9,1.15,1.0,1.0,3.0
200001,ST JOSEPH HOSPITAL,12.8,2.7,7.7,0.88,0.0,1.0,4.0
220020,SAINT ANNE'S HOSPITAL,11.4,4.6,24.3,1.0,1.0,1.0,3.0
220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,14.1,2.9,23.6,0.92,2.0,1.0,2.0
220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,11.6,3.4,-11.9,0.96,1.0,2.0,4.0
220080,HOLY FAMILY HOSPITAL,14.1,3.7,10.4,1.05,1.0,2.0,2.0
220101,NEWTON-WELLESLEY HOSPITAL,12.8,3.7,3.8,0.9,2.0,1.0,5.0
220105,WINCHESTER HOSPITAL,12.4,4.1,15.2,0.96,0.0,2.0,4.0
220110,BRIGHAM AND WOMEN'S HOSPITAL,9.6,3.5,7.3,0.98,3.0,3.0,5.0
220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,10.4,4.1,13.8,1.03,2.0,2.0,4.0
230002,ST JOE MERCY HOSPITAL SYSTEM LIVONIA,13.4,3.0,21.1,0.96,0.0,3.0,2.0
230005,PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL,13.4,4.1,-22.5,0.93,0.0,0.0,4.0
230031,LAKE HURON MEDICAL CENTER,11.8,3.6,-8.0,0.84,0.0,0.0,4.0
230047,HENRY FORD MACOMB HOSPITAL,12.0,3.5,23.2,1.0,2.0,3.0,2.0
230070,COVENANT MEDICAL CENTER,14.2,3.0,25.7,1.02,1.0,4.0,2.0
230072,HOLLAND COMMUNITY HOSPITAL,11.1,2.9,6.0,0.95,1.0,0.0,5.0
230089,BEAUMONT HOSPITAL - GROSSE POINTE,11.8,2.8,3.4,0.88,2.0,2.0,4.0
230132,HURLEY MEDICAL CENTER,13.1,3.7,41.0,1.0,3.0,0.0,2.0
230141,MCLAREN FLINT,12.8,3.5,14.5,0.98,1.0,3.0,2.0
230167,MCLAREN GREATER LANSING,12.7,3.7,33.7,0.96,1.0,0.0,2.0
230193,MCLAREN LAPEER REGION,14.3,3.4,-6.0,0.93,1.0,0.0,2.0
230216,MCLAREN PORT HURON,14.5,3.1,13.4,0.92,1.0,0.0,1.0
230236,UNIVERSITY OF MICHIGAN HEALTH - WEST,12.3,2.5,-8.3,0.95,2.0,0.0,4.0
230269,"BEAUMONT HOSPITAL, TROY",11.4,3.4,16.6,0.97,1.0,3.0,3.0
240036,ST CLOUD HOSPITAL,13.2,3.0,-38.4,0.93,1.0,0.0,4.0
240056,RIDGEVIEW MEDICAL CENTER,11.4,2.2,-13.4,0.89,0.0,0.0,4.0
250009,MAGNOLIA REGIONAL HEALTH CENTER,13.9,3.8,-1.9,1.0,1.0,0.0,3.0
250040,SINGING RIVER HEALTH SYSTEM,14.3,3.5,5.6,1.0,1.0,1.0,2.0
250048,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,15.7,3.0,27.9,1.05,1.0,3.0,2.0
250094,MERIT HEALTH WESLEY,13.9,3.1,51.7,0.99,0.0,1.0,2.0
250099,GREENWOOD LEFLORE HOSPITAL,14.3,3.9,-8.5,0.93,0.0,0.0,1.0
250104,ANDERSON REGIONAL MEDICAL CENTER,13.9,3.5,-6.3,1.11,0.0,1.0,2.0
260011,SSM HEALTH ST MARY'S HOSPITAL JEFFERSON CITY,13.5,2.9,9.2,0.95,0.0,1.0,3.0
260065,MERCY HOSPITAL SPRINGFIELD,12.1,3.8,-11.0,1.0,2.0,0.0,3.0
260068,BOONE HOSPITAL CENTER,10.7,3.8,-18.3,1.0,1.0,0.0,5.0
260085,ST JOSEPH MEDICAL CENTER,11.7,3.4,-8.4,1.01,0.0,2.0,3.0
260091,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,13.9,3.4,40.6,1.0,3.0,2.0,3.0
260104,SSM HEALTH DEPAUL HOSPITAL ST LOUIS,11.3,3.5,-9.2,1.06,2.0,0.0,2.0
260108,MISSOURI BAPTIST MEDICAL CENTER,10.7,3.3,5.9,0.96,2.0,3.0,5.0
260141,UNIVERSITY OF MISSOURI HEALTH CARE,10.8,4.5,-12.1,1.04,2.0,1.0,2.0
260180,CHRISTIAN HOSPITAL NORTHEAST,11.3,3.6,20.9,0.98,1.0,2.0,3.0
260190,LEE'S SUMMIT MEDICAL CENTER,13.0,3.6,-2.1,0.95,0.0,0.0,4.0
260219,PROGRESS WEST HOSPITAL,13.2,3.4,46.1,0.98,0.0,1.0,4.0
280020,CHI HEALTH ST. ELIZABETH,13.7,4.9,-12.7,1.01,1.0,2.0,3.0
